what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20080827,org.eclipse.team.cvs.core,1389681225270
started,bundle,org.eclipse.team.cvs.ui,3.3.100.I20080604,org.eclipse.team.cvs.ui,1389681226504
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389681228090
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389681229919
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389681231290
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389681231423
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1389681232067
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389681236953
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389681248622
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1389681250107
started,bundle,org.sf.easyexplore,1.0.4,org.sf.easyexplore,1389681254511
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389681256049
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389681311831
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1389681312909
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389681316411
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389681318124
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389681319840
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389685346544
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389685346653
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389685348017
started,bundle,org.eclipse.mylyn.pde.ui,3.0.2.I20080910-1700-e3x,org.eclipse.mylyn.pde.ui,1389685348149
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1389685348166
started,bundle,org.eclipse.mylyn.java.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.ui,1389685348201
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1389685348231
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1389685348475
