what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.server.ui,1.1.1.v20080813,org.eclipse.wst.server.ui,1386419557783
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386419561683
started,bundle,org.eclipse.ui.cheatsheets,3.3.101.v20080702_34x,org.eclipse.ui.cheatsheets,1386419565489
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386419601323
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.toggle.comment,1386419606252
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.toggle.comment,1386419607642
started,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080730_r341,org.eclipse.pde.api.tools.ui,1386419609421
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.edit.text.contentAssist.proposals,1386419609484
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.delete.line,1386419619908
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.organize.imports,1386419620922
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.file.save,1386419621811
started,bundle,org.eclipse.wst.common.emf,1.1.202.v200809111955,org.eclipse.wst.common.emf,1386419622154
started,bundle,org.eclipse.jst.j2ee.core,1.1.201.v200808071630,org.eclipse.jst.j2ee.core,1386419622185
started,bundle,org.eclipse.jem,2.0.201.v200806201600,org.eclipse.jem,1386419622217
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200808251517,org.eclipse.emf.ecore.xmi,1386419622232
started,bundle,org.eclipse.jst.jee,1.0.101.v200807240600,org.eclipse.jst.jee,1386419622497
started,bundle,org.eclipse.jem.ui,2.0.100.v200806051600,org.eclipse.jem.ui,1386419622575
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.201.v200808071700,org.eclipse.wst.common.emfworkbench.integration,1386419622778
started,bundle,org.eclipse.wst.common.modulecore,1.1.203.v200809110700,org.eclipse.wst.common.modulecore,1386419622809
started,bundle,org.eclipse.wst.validation,1.2.2.v200809050219,org.eclipse.wst.validation,1386419622841
started,bundle,org.eclipse.jst.j2ee,1.1.203.v200809102205,org.eclipse.jst.j2ee,1386419622919
started,bundle,org.eclipse.wst.web,1.1.204.v200809132300,org.eclipse.wst.web,1386419622919
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.edit.delete,1386419630080
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.edit.text.contentAssist.proposals,1386419644635
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.edit.text.contentAssist.proposals,1386419691781
