what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.file.save,1386420473564
executed,command,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui.file.save,1386420501339
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386420505795
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386421064347
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386421064503
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386421065907
started,bundle,org.eclipse.mylyn.pde.ui,3.0.2.I20080910-1700-e3x,org.eclipse.mylyn.pde.ui,1386421065985
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1386421066047
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1386421066094
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386421066499
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1386421067123
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1386421067139
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1386421067170
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1386421067217
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1386421067217
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1386421067217
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1386421067233
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1386421067264
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.0.6.v200805152355,org.eclipse.datatools.connectivity.oda.template.ui,1386421067295
stopped,bundle,org.eclipse.mylyn.pde.ui,3.0.2.I20080910-1700-e3x,org.eclipse.mylyn.pde.ui,1386421067295
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080730_r341,org.eclipse.pde.api.tools.ui,1386421067295
stopped,bundle,org.eclipse.pde.runtime,3.4.0.v20080723-1000,org.eclipse.pde.runtime,1386421067326
stopped,bundle,org.eclipse.pde.ui.templates,3.4.0.v20080514-1500,org.eclipse.pde.ui.templates,1386421067342
stopped,bundle,org.eclipse.pde.ui,3.4.0.v20080803-1700,org.eclipse.pde.ui,1386421067342
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1386421067342
