what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.engine,1.0.1.R34x_v20080827,org.eclipse.equinox.p2.engine,1386600352190
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.0.v20080427-2136,org.eclipse.equinox.p2.exemplarysetup,1386600352191
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.2.R34x_v20080825,org.eclipse.equinox.p2.extensionlocation,1386600352193
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.1.R34x_v20080818,org.eclipse.equinox.p2.garbagecollector,1386600352194
started,bundle,org.eclipse.equinox.p2.metadata,1.0.0.v20080514-1900,org.eclipse.equinox.p2.metadata,1386600352209
started,bundle,org.eclipse.equinox.p2.metadata.generator,1.0.1.R34x_v20080819,org.eclipse.equinox.p2.metadata.generator,1386600352227
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.0.v20080604,org.eclipse.equinox.p2.metadata.repository,1386600352229
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.2.R34x_v20080825,org.eclipse.equinox.p2.reconciler.dropins,1386600352231
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,1.0.1.R34x_v20080808-0136,org.eclipse.equinox.p2.touchpoint.eclipse,1386600352234
started,bundle,org.eclipse.equinox.p2.ui,1.0.1.R34x_v20080729,org.eclipse.equinox.p2.ui,1386600352240
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20080818,org.eclipse.equinox.p2.ui.sdk,1386600352241
started,bundle,org.eclipse.equinox.p2.updatechecker,1.0.0.v20080427-2136,org.eclipse.equinox.p2.updatechecker,1386600352296
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.1.R34x_v20080808-1156,org.eclipse.equinox.p2.updatesite,1386600352308
started,bundle,org.eclipse.equinox.preferences,3.2.201.R34x_v20080709,org.eclipse.equinox.preferences,1386600352310
started,bundle,org.eclipse.equinox.registry,3.4.0.v20080516-0950,org.eclipse.equinox.registry,1386600352320
started,bundle,org.eclipse.equinox.security,1.0.1.R34x_v20080721,org.eclipse.equinox.security,1386600352374
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.0.v20080427-2136,org.eclipse.equinox.simpleconfigurator.manipulator,1386600352375
started,bundle,org.eclipse.help,3.3.101.v20080702_34x,org.eclipse.help,1386600352433
started,bundle,org.eclipse.jface,3.4.1.M20080827-2000,org.eclipse.jface,1386600352455
started,bundle,org.eclipse.ltk.core.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.core.refactoring,1386600352466
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1386600352506
started,bundle,org.eclipse.team.core,3.4.1.r34x_20080827,org.eclipse.team.core,1386600352527
started,bundle,org.eclipse.ui,3.4.1.M20080903-2000,org.eclipse.ui,1386600352578
started,bundle,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.editors,1386600352578
started,bundle,org.eclipse.ui.forms,3.3.101.v20080708_34x,org.eclipse.ui.forms,1386600352605
